PMID	Title	Abstract
17512723	RDH12, a retinol dehydrogenase causing Leber's congenital amaurosis, is also involved in steroid metabolism.	Three retinol dehydrogenases (RDHs) were tested for steroid converting abilities: human and murine RDH 12 and human RDH13. RDH12 is involved in retinal degeneration in Leber's congenital amaurosis (LCA). We show that murine Rdh12 and human RDH13 do not reveal activity towards the checked steroids, but that human type 12 RDH reduces dihydrotestosterone to androstanediol, and is thus also involved in steroid metabolism. Furthermore, we analyzed both expression and subcellular localization of these enzymes.
23557993	A diarylheptanoid phytoestrogen from Curcuma comosa, 1,7-diphenyl-4,6-heptadien-3-ol, accelerates human osteoblast proliferation and differentiation.	Curcuma comosa Roxb. is ginger-family plant used to relieve menopausal symptoms. Previous work showed that C. comosa extracts protect mice from ovariectomy-induced osteopenia with minimal effects on reproductive organs, and identified the diarylheptanoid (3R)-1,7-diphenyl-(4E,6E)-4,6-heptadien-3-ol (DPHD) as the major active component of C. comosa rhizomes. At 1-10μM, DPHD increased differentiation in transformed mouse osteoblasts, but the effect of DPHD on normal bone cells was unknown. We examined the concentration dependency and mechanism of action of DPHD relative to 17β-estradiol in nontransformed human osteoblasts (h-OB). The h-OB were 10-100 fold more sensitive to DPHD than transformed osteoblasts: DPHD increased h-OB proliferation at 10nM and, at 100nM, activated MAP kinase signaling within 30min. In long-term differentiation assays, responses of h-OB to DPHD were significant at 10nM, and optimal response in most cases was at 100nM. At 7-21 days, DPHD accelerated osteoblast differentiation, indicated by alkaline phosphatase activity and osteoblast-specific mRNA production. Effects of DPHD were eliminated by the estrogen receptor antagonist ICI182780. During differentiation, DPHD promoted early expression of osteoblast transcription factors, RUNX2 and osterix. Subsequently, DPHD accelerated production of bone structural genes, including COL1A1 and osteocalcin comparably to 17β-estradiol. In h-OB, DPHD increased the osteoprotegerin to RANKL ratio and supported mineralization more efficiently than 10nM 17β-estradiol. We conclude that DPHD promotes human osteoblast function in vitro effectively at nanomolar concentrations, making it a promising compound to protect bone in menopausal women.
23161873	The role of the carbohydrate response element-binding protein in male fructose-fed rats.	By 2030, nearly half of Americans will have nonalcoholic fatty liver disease. In part, this epidemic is fueled by the increasing consumption of caloric sweeteners coupled with an innate capacity to convert sugar into fat via hepatic de novo lipogenesis. In addition to serving as substrates, monosaccharides also increase the expression of key enzymes involved in de novo lipogenesis via the carbohydrate response element-binding protein (ChREBP). To determine whether ChREBP is a potential therapeutic target, we decreased hepatic expression of ChREBP with a specific antisense oligonucleotide (ASO) in male Sprague-Dawley rats fed either a high-fructose or high-fat diet. ChREBP ASO treatment decreased plasma triglyceride concentrations compared with control ASO treatment in both diet groups. The reduction was more pronounced in the fructose-fed group and attributed to decreased hepatic expression of ACC2, FAS, SCD1, and MTTP and a decrease in the rate of hepatic triglyceride secretion. This was associated with an increase in insulin-stimulated peripheral glucose uptake, as assessed by the hyperinsulinemic-euglycemic clamp. In contrast, ChREBP ASO did not alter hepatic lipid content or hepatic insulin sensitivity. Interestingly, fructose-fed rats treated with ChREBP ASO had increased plasma uric acid, alanine transaminase, and aspartate aminotransferase concentrations. This was associated with decreased expression of fructose aldolase and fructokinase, reminiscent of inherited disorders of fructose metabolism. In summary, these studies suggest that targeting ChREBP may prevent fructose-induced hypertriglyceridemia but without the improvements in hepatic steatosis and hepatic insulin responsiveness.
17292977	Biological activity of AC3174, a peptide analog of exendin-4.	Exenatide, the active ingredient of BYETTA (exenatide injection), is an incretin mimetic that has been developed for the treatment of patients with type 2 diabetes. Exenatide binds to and activates the known GLP-1 receptor with a potency comparable to that of the mammalian incretin GLP-1(7-36), thereby acting as a glucoregulatory agent. AC3174 is an analog of exenatide with leucine substituted for methionine at position 14, [Leu(14)]exendin-4. The purpose of these studies was to evaluate the glucoregulatory activity and pharmacokinetics of AC3174. In RINm5f cell membranes, the potency of AC3174 for the displacement of [(125)I]GLP-1 and activation of adenylate cyclase was similar to that of exenatide and GLP-1. In vivo, AC3174, administered as a single IP injection, significantly decreased plasma glucose concentration and glucose excursion following the administration of an oral glucose challenge in both non-diabetic (C57BL/6) and diabetic db/db mice (P<0.05 vs. vehicle-treated). The magnitude of glucose lowering of AC3174 was comparable to exenatide. The ED(50) values of AC3174 for glucose lowering (60 minute post-dose) were 1.2 microg/kg in db/db mice and 1.3 microg/kg in C57BL/6 mice. AC3174 has insulinotropic activity in vivo. Administration of AC3174 resulted in a 4-fold increase in insulin concentrations in normal mice following an IP glucose challenge. AC3174 was also shown to inhibit food intake and decrease gastric emptying in rodent models. AC3174 was stable in human plasma (>90% of parent peptide was present after 5 h of incubation). In rats, the in vivo half-life of AC3174 was 42-43 min following SC administration. In summary, AC3174 is an analog of exenatide that binds to the GLP-1 receptor in vitro and shares many of the biological and glucoregulatory activities of exenatide and GLP-1 in vivo.
23348500	A novel metabotropic glutamate receptor 5 positive allosteric modulator acts at a unique site and confers stimulus bias to mGlu5 signaling.	Metabotropic glutamate receptor 5 (mGlu5) is a target for the treatment of central nervous system (CNS) disorders, such as schizophrenia and Alzheimer's disease. Furthermore, mGlu5 has been shown to play an important role in hippocampal synaptic plasticity, specifically in long-term depression (LTD) and long-term potentiation (LTP), which is thought to be involved in cognition. Multiple mGlu5-positive allosteric modulators (PAMs) have been developed from a variety of different scaffolds. Previous work has extensively characterized a common allosteric site on mGlu5, termed the MPEP (2-Methyl-6-(phenylethynyl)pyridine) binding site. However, one mGlu5 PAM, CPPHA (N-(4-chloro-2-[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl]phenyl)-2-hydroxybenzamide), interacts with a separate allosteric site on mGlu5. Using cell-based assays and brain slice preparations, we characterized the interaction of a potent and efficacious mGlu5 PAM from the CPPHA series termed NCFP (N-(4-chloro-2-((4-fluoro-1,3-dioxoisoindolin-2-yl)methyl)phenyl)picolinamide). NCFP binds to the CPPHA site on mGlu5 and potentiates mGlu5-mediated responses in both recombinant and native systems. However, NCFP provides greater mGlu5 subtype selectivity than does CPPHA, making it more suitable for studies of effects on mGlu5 in CNS preparations. Of interest, NCFP does not potentiate responses involved in hippocampal synaptic plasticity (LTD/LTP), setting it apart from other previously characterized MPEP site PAMs. This suggests that although mGlu5 PAMs may have similar responses in some systems, they can induce differential effects on mGlu5-mediated physiologic responses in the CNS. Such stimulus bias by mGlu5 PAMs may complicate drug discovery efforts but would also allow for specifically tailored therapies, if pharmacological biases can be attributed to different therapeutic outcomes.
7828655	Dopamine receptor blockade increases dopamine D2 receptor and glutamic acid decarboxylase mRNAs in mouse substantia nigra.	To study the influence of dopaminergic activity on the expression of dopamine D2 receptors and glutamic acid decarboxylase in substantia nigra, mice were treated daily for several days with an irreversibly acting dopamine D1 and dopamine D2 receptor antagonist N-ethoxycarbonyl-2-ethoxy-1,2-dihydroquinoline (EEDQ) or with a selective irreversible D2 dopamine receptor antagonist fluphenazine-N-mustard. Mice were killed 24 h after the last injection. Dopamine D1 and dopamine D2 receptors were determined by receptor autoradiography, and dopamine D1 and dopamine D2 receptor mRNA and glutamic acid decarboxylase mRNA were determined by in situ hybridization histochemistry. The results showed that treatment with EEDQ, which blocked 80% to 85% of the dopamine D2 and dopamine D1 receptors in substantia nigra, increased the levels of dopamine D2 receptor mRNA in substantia nigra by about 27%. Treatment with fluphenazine-N-mustard, which blocked about 85% of the dopamine D2 receptors in substantia nigra but had no significant effect on dopamine D1 receptors, increased the levels of dopamine D2 receptor mRNA by about 34%. There were no detectable levels of dopamine D1 receptors, increased the levels of dopamine D2 receptor mRNA by about 34%. There were no detectable levels of dopamine D1 receptor mRNA in substantia nigra either in control animals or in animals treated with the dopamine receptor antagonists. Glutamic acid decarboxylase mRNA was expressed in several regions of the mid-brain but only that expressed in substantia nigra was altered by treatment with dopamine receptor antagonists.(ABSTRACT TRUNCATED AT 250 WORDS)
15456329	Nabumetone: therapeutic use and safety profile in the management of osteoarthritis and rheumatoid arthritis.	Nabumetone is a nonsteroidal anti-inflammatory prodrug, which exerts its pharmacological effects via the metabolite 6-methoxy-2-naphthylacetic acid (6-MNA). Nabumetone itself is non-acidic and, following absorption, it undergoes extensive first-pass metabolism to form the main circulating active metabolite (6-MNA) which is a much more potent inhibitor of preferentially cyclo-oxygenase (COX)-2. The three major metabolic pathways of nabumetone are O-demethylation, reduction of the ketone to an alcohol, and an oxidative cleavage of the side-chain occurs to yield acetic acid derivatives. Essentially no unchanged nabumetone and < 1% of the major 6-MNA metabolite are excreted unchanged in the urine from which 80% of the dose can be recovered and another 10% in faeces. Nabumetone is clinically used mainly for the management of patients with osteoarthritis (OA) or rheumatoid arthritis (RA) to reduce pain and inflammation. The clinical efficacy of nabumetone has also been evaluated in patients with ankylosing spondylitis, soft tissue injuries and juvenile RA. The optimum oral dosage of nabumetone for OA patients is 1 g once daily, which is well tolerated. The therapeutic response is superior to placebo and similar to nonselective COX inhibitors. In RA patients, nabumetone 1 g at bedtime is optimal, but an additional 0.5-1 g can be administered in the morning for patients with persistent symptoms. In RA, nabumetone has shown a comparable clinical efficacy to aspirin (acetylsalicylic acid), diclofenac, piroxicam, ibuprofen and naproxen. Clinical trials and a decade of worldwide safety data and long-term postmarketing surveillance studies show that nabumetone is generally well tolerated. The most frequent adverse effects are those commonly seen with COX inhibitors, which include diarrhoea, dyspepsia, headache, abdominal pain and nausea. In common with other COX inhibitors, nabumetone may increase the risk of GI perforations, ulcerations and bleedings (PUBs). However, several studies show a low incidence of PUBs, and on a par with the numbers reported from studies with COX-2 selective inhibitors and considerably lower than for nonselective COX inhibitors. This has been attributed mainly to the non-acidic chemical properties of nabumetone but also to its COX-1/COX-2 inhibitor profile. Through its metabolite 6-MNA, nabumetone has a dose-related effect on platelet aggregation, but no effect on bleeding time in clinical studies. Furthermore, several short-term studies have shown little to no effect on renal function. Compared with COX-2 selective inhibitors, nabumetone exhibits similar anti-inflammatory and analgesic properties in patients with arthritis and there is no evidence of excess GI or other forms of complications to date.
17258485	Vitamin C transport and SVCT1 transporter expression in chick renal proximal tubule cells in culture.	The characteristics of vitamin C (ascorbic acid, ASC) transport were studied in polarized cultured monolayers of the chick (Gallus gallus) renal proximal tubule in Ussing chambers. Under voltage clamp conditions, monolayers responded to apical addition of ASC in a dose-dependent manner, with positive short circuit currents (I(SC)), ranging from 3 microA/cm(2) at 5 microM ASC to a maximal response of 27 microA/cm(2) at 200 microM, and a half-maximal response at 40 microM. There was no effect of basolateral addition of ASC, indicating a polarized transport process. The oxidized form of ASC, dehydroascorbic acid had negligible effects. The I(SC) response to ASC was completely eliminated with Na(+) ion replacement, and was also eliminated by bilateral reduction of bath Cl(-), from 137 to 2.6 mM. There was significant inhibition of the I(SC) responses to 30 microM ASC by the flavanoid quercetin (50 microM) and by 100 microM 4,4'-diisothiocyanostilbene-2,2'-disulfonic acid (DIDS) and 5-ethylisopropylamiloride (EIPA), blockers of anion exchangers and sodium-proton exchangers, respectively. There was no inhibition, however, by the chloride channel blocker 5-nitro-2(3-phenylpropylamino)benzoic acid (NPPB). Phorbol 12-myristate 13 acetate (PMA), the phorbol ester activator of protein kinase C, caused a 37% decrease in the I(SC) response to ASC. Chicken-specific primers to an EST homolog of the human vitamin C transporter SVCT1 (SLC23A1) were designed and used to probe transporter expression in these cells. RT-PCR analysis demonstrated the presence of chicken SVCT1 in both cultured cells and in freshly isolated proximal tubule fragments. These data indicate the presence of an electrogenic, sodium-dependent vitamin C transporter (SVCT1) in the chick renal proximal tubule. Vitamin C transport and conservation by the kidney is likely to be especially critical in birds, due to high plasma glucose levels and resulting high levels of reactive oxygen species.
23545568	Stable and high-rate overcharge protection for rechargeable lithium batteries.	Rechargeable lithium or lithium-ion cells can be overcharge-protected by an electroactive polymer composite separator. The use of non-woven fibrous membranes instead of conventional microporous membranes as the composite substrates allowed better distribution of the electroactive polymer, which led to improved utilization and a 40-fold increase in sustainable current density. For the first time, stable overcharge protection for hundreds of cycles was demonstrated in several cell chemistries, including LiNi1/3Co1/3Mn1/3O2, LiFePO4, and spinel Li1.05Mn1.95O4 half-cells. Protection at a charging rate as high as 5 C was achieved at a steady state cell potential below 4.85 V.
23152189	2,3,7,8-Tetrachlorodibenzo-p-dioxin-mediated production of reactive oxygen species is an essential step in the mechanism of action to accelerate human keratinocyte differentiation.	Chloracne is commonly observed in humans exposed to 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD); yet, the mechanism of toxicity is not well understood. Using normal human epidermal keratinocytes, we investigated the mechanism of TCDD-mediated enhancement of epidermal differentiation by integrating functional genomic, metabolomic, and biochemical analyses. TCDD increased the expression of 40% of the genes of the epidermal differentiation complex found on chromosome 1q21 and 75% of the genes required for de novo ceramide biosynthesis. Lipid analysis demonstrated that eight of the nine classes of ceramides were increased by TCDD, altering the ratio of ceramides to free fatty acids. TCDD decreased the expression of the glucose transporter, SLC2A1, and most of the glycolytic transcripts, followed by decreases in glycolytic intermediates, including pyruvate. NADH and Krebs cycle intermediates were decreased, whereas NAD(+) was increased. Mitochondrial glutathione (GSH) reductase activity and the GSH/glutathione disulfide ratio were decreased by TCDD, ultimately leading to mitochondrial dysfunction, characterized by decreased inner mitochondrial membrane potential and ATP production, and increased production of the reactive oxygen species (ROS), hydrogen peroxide. Aryl hydrocarbon receptor (AHR) antagonists blocked the response of many transcripts to TCDD, and the endpoints of decreased ATP production and differentiation, suggesting regulation by the AHR. Cotreatment of cells with chemical antioxidants or the enzyme catalase blocked the TCDD-mediated acceleration of keratinocyte cornified envelope formation, an endpoint of terminal differentiation. Thus, TCDD-mediated ROS production is a critical step in the mechanism of this chemical to accelerate keratinocyte differentiation.
